__type;Title;Name;Description;Adress;latitude;longitude;
VEMaps.PinData;MAIRIE DU 6E ARRONDISSEMENT;;;78  RUE BONAPARTE 75006 PARIS;48.8505347;2.3327727;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 14 RUE EBLE;;;14  RUE EBLE 75007 PARIS;48.8489372;2.3128817;
VEMaps.PinData;ECOLE POLYVALENTE 27 RUE LAS CASES;;;27  RUE LAS CASES 75007 PARIS;48.8589413;2.3187603;
VEMaps.PinData;MAIRIE DU 7E ARRONDISSEMENT;;;116  RUE DE GRENELLE 75007 PARIS;48.8568258;2.3200337;
VEMaps.PinData;MAISON DES ASSOCIATIONS 4 RUE AMELIE;;;4  RUE AMELIE 75007 PARIS;48.8594114;2.3072933;
VEMaps.PinData;ECOLE MATERNELLE 117 B RUE SAINT-DOMINIQUE;;;117B  RUE SAINT-DOMINIQUE 75007 PARIS;48.8590216;2.3042704;
VEMaps.PinData;ECOLE MATERNELLE 14 RUE EBLE;;;14  RUE EBLE 75007 PARIS;48.8489372;2.3128817;
VEMaps.PinData;ECOLE MATERNELLE 17 RUE VERNEUIL;;;17  RUE DE VERNEUIL 75007 PARIS;48.8575432;2.3304999;
VEMaps.PinData;ECOLE MATERNELLE 28 AV RAPP;;;28  AVENUE RAPP 75007 PARIS;48.8586928;2.3003134;
VEMaps.PinData;ECOLE MATERNELLE 48 RUE VANEAU;;;48  RUE VANEAU 75007 PARIS;48.8511904;2.3191107;
VEMaps.PinData;ECOLE MATERNELLE 8 RUE CHOMEL;;;8  RUE CHOMEL 75007 PARIS;48.8521226;2.3255137;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 42 AV DUQUESNE;;;42  AVENUE DUQUESNE 75007 PARIS;48.8494215;2.3132936;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 8 RUE CHOMEL;;;8  RUE CHOMEL 75007 PARIS;48.8521226;2.3255137;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 1 RUE GENERAL CAMOU;;;1  RUE DU GENERAL CAMOU 75007 PARIS;48.858841;2.2994949;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 10 AV LA MOTTE-PICQUET;;;10  AVENUE DE LA MOTTE-PICQUET 75007 PARIS;48.8569082;2.309097;
VEMaps.PinData;ECOLE MATERNELLE 12 RUE CLAUZEL;;;12  RUE CLAUZEL 75009 PARIS;48.8791636;2.3385549;
VEMaps.PinData;ECOLE MATERNELLE 22 RUE ROCHECHOUART;;;22  RUE DE ROCHECHOUART 75009 PARIS;48.8779178;2.3448663;
VEMaps.PinData;ECOLE MATERNELLE 30 RUE RODIER;;;30  RUE RODIER 75009 PARIS;48.8786285;2.3429776;
VEMaps.PinData;ECOLE MATERNELLE 34 RUE BRUXELLES;;;34  RUE DE BRUXELLES 75009 PARIS;48.8829284;2.328718;
VEMaps.PinData;ECOLE MATERNELLE 34 RUE BUFFAULT;;;34  RUE BUFFAULT 75009 PARIS;48.8764446;2.3424611;
VEMaps.PinData;ECOLE MATERNELLE 5 RUE MILTON;;;5  RUE MILTON 75009 PARIS;48.8775761;2.3407478;
VEMaps.PinData;ECOLE MATERNELLE 68 RUE DE ROCHECHOUART;;;68  RUE DE ROCHECHOUART 75009 PARIS;48.8813221;2.3465635;
VEMaps.PinData;ECOLE MATERNELLE 9 BIS RUE BLANCHE;;;9B  RUE BLANCHE 75009 PARIS;48.8779855;2.3318101;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 32 RUE BRUXELLES;;;32  RUE DE BRUXELLES 75009 PARIS;48.882955;2.3288386;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 32 RUE BUFFAULT;;;32  RUE BUFFAULT 75009 PARIS;48.8763052;2.3423889;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 45 RUE DE LA TOUR D’AUVERGNE;;;45  RUE DE LA TOUR D'AUVERGNE 75009 PARIS;48.8797379;2.3409384;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 5 RUE MILTON;;;5  RUE MILTON 75009 PARIS;48.8775761;2.3407478;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 9 RUE BLANCHE;;;9  RUE BLANCHE 75009 PARIS;48.8779855;2.3318101;
